epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,3247.13,1.88901,1.39231,0.97959,0.57716,0.52696,0.55251,0.24762,1.92738,1.54957,0.99808,0.0003566,0.0003566,0.0003566
85,3289.39,1.96619,1.36093,0.98,0.57953,0.53406,0.55525,0.25042,1.90075,1.53776,0.99244,0.0003368,0.0003368,0.0003368
86,3330.56,1.88609,1.38131,0.96153,0.60385,0.53093,0.56494,0.25686,1.89011,1.51428,0.98962,0.000317,0.000317,0.000317
87,3371.47,1.89357,1.35904,0.98979,0.59783,0.53198,0.56733,0.2595,1.87513,1.5289,0.99293,0.0002972,0.0002972,0.0002972
88,3412.59,1.92627,1.30794,0.98462,0.60714,0.51919,0.56233,0.25281,1.8893,1.5595,0.9918,0.0002774,0.0002774,0.0002774
89,3453.12,1.90675,1.37543,0.98683,0.60957,0.51997,0.56315,0.25398,1.90669,1.57063,0.99442,0.0002576,0.0002576,0.0002576
90,3492.25,1.88256,1.34675,0.97634,0.60908,0.50509,0.55412,0.25833,1.88769,1.59432,0.99318,0.0002378,0.0002378,0.0002378
91,3534.43,1.84066,1.38838,0.99325,0.59276,0.53328,0.56275,0.25902,1.89641,1.50476,0.99156,0.000218,0.000218,0.000218
92,3571.69,1.8862,1.45084,0.99417,0.55726,0.54309,0.54889,0.25079,1.91225,1.53293,0.99331,0.0001982,0.0001982,0.0001982
93,3609.38,1.84811,1.38354,0.99723,0.56719,0.53406,0.54985,0.25057,1.91872,1.55681,0.995,0.0001784,0.0001784,0.0001784
94,3646.55,1.92179,1.41849,0.9788,0.5588,0.54659,0.56147,0.2558,1.90084,1.5309,0.99037,0.0001586,0.0001586,0.0001586
95,3683.41,1.79079,1.42822,0.98508,0.59153,0.54816,0.56968,0.26101,1.89921,1.51919,0.99118,0.0001388,0.0001388,0.0001388
96,3721.46,1.81866,1.348,0.96891,0.57718,0.54503,0.56088,0.25733,1.90461,1.53667,0.99102,0.000119,0.000119,0.000119
97,3759.33,1.78033,1.28733,0.98043,0.57873,0.54738,0.56565,0.25284,1.91826,1.53178,0.99264,9.92e-05,9.92e-05,9.92e-05
98,3797.07,1.918,1.58355,0.98954,0.58996,0.53955,0.56788,0.25561,1.91781,1.5261,0.99461,7.94e-05,7.94e-05,7.94e-05
99,3834.35,1.82782,1.33993,0.97888,0.58787,0.54424,0.56792,0.25785,1.91825,1.54044,0.99452,5.96e-05,5.96e-05,5.96e-05
100,3871.25,1.88303,1.42014,0.98838,0.5855,0.53485,0.56382,0.25531,1.9206,1.55813,0.99389,3.98e-05,3.98e-05,3.98e-05
